STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,TIME_PERIOD,Time,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-8,Nukulaelae,2017,2017,4.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-4,Tongatapu,2016,2016,12953,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-5,Shefa,2016,2016,19913,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-2,Eastern,2017,2017,37648,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF,French Polynesia,2017,2017,76780,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO,Tonga,2016,2016,18005,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-2,Îles du Vent,2017,2017,3.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-4,Nui,2017,2017,5.2,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-6,Hihifo,2018,2018,3.3,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-2,North West Upolu,2016,2016,4,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV,Tuvalu,2017,2017,6.5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-4,Îles Sous-le-Vent,2017,2017,10080,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-5,Îles Tuamotu-Gambier,2017,2017,4792,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-6,Tafea,2016,2016,6853,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-1,Central,2017,2017,378284,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-2,Nanumanga,2017,2017,93,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-5,Îles Tuamotu-Gambier,2017,2017,16881,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ,Fiji,2017,2017,191910,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF,Wallis and Futuna,2018,2018,11558,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC-3,Southern Province,2019,2019,2.5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-1,Ha'apai,2016,2016,5.2,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-2,'Eua,2016,2016,5.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF,Wallis and Futuna,2018,2018,3.3,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-3,Niutao,2017,2017,116,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-1,Apia Urban Area,2016,2016,8424,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-4,Nui,2017,2017,501,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-2,Sanma,2016,2016,52145,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-9,Niulakita,2017,2017,4.3,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-6,Tafea,2016,2016,5.4,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK-1,Anafu,2016,2016,88,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK-3,Nukunonu,2016,2016,83,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS-3,Rest of Upolu,2016,2016,45652,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WS,Samoa,2016,2016,52123,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK,Tokelau,2016,2016,1451,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-3,Niutao,2017,2017,4.3,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-5,Vaitupu,2017,2017,6.4,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-7,Funafuti,2017,2017,7.9,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-7,Mua,2018,2018,3.3,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-1,Ha'apai,2016,2016,1179,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-4,Nui,2017,2017,97,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-8,Nukulaelae,2017,2017,57,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO-5,Vava'u,2016,2016,13738,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-3,Niutao,2017,2017,501,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-3,Penama,2016,2016,31334,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC,New Caledonia,2019,2019,109025,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-5,Western,2017,2017,80575,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-3,Northern,2017,2017,4.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC-2,Northern Province,2019,2019,2.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-5,Îles Tuamotu-Gambier,2017,2017,3.5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-1,Alo,2018,2018,3.3,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK,Tokelau,2016,2016,5.7,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TO,Tonga,2016,2016,5.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-2,Sigave,2018,2018,371,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-6,Hihifo,2018,2018,585,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-1,Îles Australes,2017,2017,6965,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-2,Îles du Vent,2017,2017,207333,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,PF-3,Îles Marquises,2017,2017,9346,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-4,Malampa,2016,2016,39997,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-5,Shefa,2016,2016,96405,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,VU-6,Tafea,2016,2016,36799,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV,Tuvalu,2017,2017,10645,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-1,Central,2017,2017,74451,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-3,Northern,2017,2017,28736,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC-2,Northern Province,2019,2019,19242,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC-1,Loyalty Islands,2019,2019,2.6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC,New Caledonia,2019,2019,2.5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-6,Nukufetau,2017,2017,112,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-5,Hahake,2018,2018,1003,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TV-1,Nanumea,2017,2017,507,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-2,Eastern,2017,2017,8148,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,NC-1,Loyalty Islands,2019,2019,6947,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,FJ-1,Central,2017,2017,5.1,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,TK-2,Fakaofo,2016,2016,5.7,,N,units,,,,,,,,
DATAFLOW,SPC:DF_HHCOUNTS(1.0),"Household counts, population and average household size",I,A,Annual,,,WF-2,Sigave,2018,2018,3.4,,N,units,,,,,,,,
